,STNAME,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,TOT_NHWA,TOT_NHBA,TOT_NHIA,TOT_NHAA,TOT_NHNA,TOT_NHTOM,TOT_HWA,TOT_HBA,TOT_HIA,TOT_HAA,TOT_HNA,TOT_HTOM
7353,North Carolina,Edgecombe,56050,25973,30077,9917,11036,14584,17643,66,80,56,87,9,16,217,227,844,741,126,123,98,72,2,2,14,4,40,46,20953,32227,146,143,25,444,1585,249,170,4,18,86
7581,North Carolina,Forsyth,354524,168155,186369,98969,108921,41085,49729,437,500,3187,3747,84,102,2499,2772,17074,15996,2753,2699,1039,923,138,137,112,88,778,755,207890,90814,937,6934,186,5271,33070,5452,1962,275,200,1533
7809,North Carolina,Frankli,60946,30245,30701,19302,19505,7717,8324,112,151,108,164,3,5,403,389,2055,1720,255,205,174,114,24,20,19,20,73,84,38807,16041,263,272,8,792,3775,460,288,44,39,157
8037,North Carolina,Gas,206886,100020,106866,75882,80756,14603,16839,390,350,1225,1379,22,27,1529,1559,5599,5204,409,416,199,178,24,23,24,24,114,111,156638,31442,740,2604,49,3088,10803,825,377,47,48,225
8265,North Carolina,Gates,12043,5920,6123,3764,3801,1912,2087,28,31,11,9,3,5,105,105,72,66,10,6,2,3,0,1,4,0,9,9,7565,3999,59,20,8,210,138,16,5,1,4,18
8493,North Carolina,Graham,8811,4344,4467,3860,3991,11,6,256,289,12,16,0,2,77,66,92,70,0,0,28,24,0,0,5,0,3,3,7851,17,545,28,2,143,162,0,52,0,5,6
8721,North Carolina,Granville,57503,29539,27964,17184,16795,9364,8784,133,77,148,161,12,12,357,354,1922,1447,205,144,115,107,7,8,17,8,75,67,33979,18148,210,309,24,711,3369,349,222,15,25,142
8949,North Carolina,Greene,21514,11579,9935,5315,4885,4268,3583,73,32,35,43,2,3,83,86,1452,1007,91,68,205,179,7,4,21,20,27,25,10200,7851,105,78,5,169,2459,159,384,11,41,52
9177,North Carolina,Guilford,494953,235174,259779,127746,138989,73674,87479,984,1138,10014,10316,114,115,4076,4681,15099,13499,1844,1984,732,661,186,166,66,71,639,680,266735,161153,2122,20330,229,8757,28598,3828,1393,352,137,1319
9405,North Carolina,Halifax,54114,25846,28268,10244,11013,13508,15201,992,954,182,197,3,6,278,317,384,369,140,128,65,48,14,9,14,13,22,13,21257,28709,1946,379,9,595,753,268,113,23,27,35
9633,North Carolina,Harne,119178,58562,60616,37338,38993,11867,12658,508,544,383,732,77,63,1368,1436,5603,4882,434,433,573,493,87,47,31,22,293,313,76331,24525,1052,1115,140,2804,10485,867,1066,134,53,606
9861,North Carolina,Haywood,58726,28300,30426,26448,28659,336,284,137,139,79,134,4,4,225,293,972,843,9,7,42,23,11,3,3,6,34,31,55107,620,276,213,8,518,1815,16,65,14,9,65
10089,North Carolina,Henders,107370,51841,55529,43113,47438,1569,1648,162,166,445,614,94,71,688,790,5343,4445,94,75,188,148,25,24,28,14,92,96,90551,3217,328,1059,165,1478,9788,169,336,49,42,188
10317,North Carolina,Hertford,24718,12206,12512,4271,4155,7125,7748,112,151,71,59,0,2,115,149,373,135,83,60,26,24,19,12,7,3,4,14,8426,14873,263,130,2,264,508,143,50,31,10,18
10545,North Carolina,Hoke,49468,24370,25098,10232,10200,7964,8258,2003,2319,202,353,55,59,775,888,2374,2275,258,308,290,228,39,43,45,28,133,139,20432,16222,4322,555,114,1663,4649,566,518,82,73,272
